Title,Link,Snippet,Date Published,Keyword,Country,Date From,Date To,cosine_similarity,total_sum
Policy Brief 14-2: Addressing Currency Manipulation Through Trade ...,https://www.piie.com/sites/default/files/publications/pb/pb14-2.pdf,"Jan 2, 2014 ... rules, the degree to which they become legal commitments, ... Hence the most plausible “wiggle room” lies ... manipulation by China and has in fact criticized China ...",,misinformation,China,1/1/14,2/1/14,0.33354893,1
Policy Brief 14-2: Addressing Currency Manipulation Through Trade ...,https://www.piie.com/sites/default/files/publications/pb/pb14-2.pdf,"Jan 2, 2014 ... rules, the degree to which they become legal commitments, ... Hence the most plausible “wiggle room” lies ... manipulation by China and has in fact criticized China ...",,misinformation,China,2/1/14,3/1/14,0.33354893,2
The Demand and Need for Transparency and Disclosure in ...,https://www.hrpub.org/download/20140105/UJM3-12101630.pdf,"Jan 5, 2014 ... Hong Kong remains an attractive place for Chinese enterprises to raise funds from, and for international investors to invest their money in, only if the ...",,misinformation,China,4/1/14,5/1/14,0.3912475,3
The Demand and Need for Transparency and Disclosure in ...,https://www.hrpub.org/download/20140105/UJM3-12101630.pdf,"Jan 5, 2014 ... Hong Kong remains an attractive place for Chinese enterprises to raise funds from, and for international investors to invest their money in, only if the ...",,misinformation,China,5/1/14,6/1/14,0.3912475,4
Fighting food fraud,https://www.europarl.europa.eu/RegData/bibliotheque/briefing/2014/130679/LDM_BRI%282014%29130679_REV1_EN.pdf,"Jan 16, 2014 ... The responsibility for enforcing food law lies with Member States (MS) who carry out official controls in the supply chain. Current EU legislation on the ...",,misinformation,China,16/1/14,17/1/14,0.36243114,5
"Fake images: The effects of source, intermediary, and digital media ...",https://journals.sagepub.com/doi/pdf/10.1177/1461444818799526,"Jan 23, 2014 ... judgment. The images tested in this study were ... However, given the amount of misinformation and disinformation ... She is currently an assistant professor at the ...",,misinformation,China,23/1/14,24/1/14,0.3618527,6
Injury By Algorithm: A Look Into Google's Liability For Defamatory ...,https://digitalcommons.lmu.edu/cgi/viewcontent.cgi?article=1581&context=elr,"Feb 7, 2014 ... See generally Defamation Law - Guide to Libel and Slander Law, HG. ... Conversely, the governments of China and Iran have restricted access to certain Google ...",,misinformation,China,6/2/14,7/2/14,0.34913328,7
Injury By Algorithm: A Look Into Google's Liability For Defamatory ...,https://digitalcommons.lmu.edu/cgi/viewcontent.cgi?article=1581&context=elr,"Feb 7, 2014 ... See generally Defamation Law - Guide to Libel and Slander Law, HG. ... Conversely, the governments of China and Iran have restricted access to certain Google ...",,misinformation,China,7/2/14,8/2/14,0.34913328,8
The Regulation of Electronic Evidence in the United Arab Emirates ...,https://research.bangor.ac.uk/portal/files/20576087/null,"Feb 15, 2014 ... 24Civil Procedure Law of the People's Republic of China [China]. Adopted at ... regulatory issue, however, its importance lies in the positive results of such ...",,misinformation,China,14/2/14,15/2/14,0.33303583,9
The Regulation of Electronic Evidence in the United Arab Emirates ...,https://research.bangor.ac.uk/portal/files/20576087/null,"Feb 15, 2014 ... 24Civil Procedure Law of the People's Republic of China [China]. Adopted at ... regulatory issue, however, its importance lies in the positive results of such ...",,misinformation,China,15/2/14,16/2/14,0.33303583,10
RESPONDING TO RESEARCH WRONGDOING: A USER ...,https://research.uark.edu/documents/rscp/responding-to-research-wrongdoing.pdf,"Mar 6, 2014 ... Laws control the lesser man. Right conduct controls the greater one. Chinese Proverb ... Going into detail about the formal reporting processes lies well beyond ...",,misinformation,China,5/3/14,6/3/14,0.50624734,11
RESPONDING TO RESEARCH WRONGDOING: A USER ...,https://research.uark.edu/documents/rscp/responding-to-research-wrongdoing.pdf,"Mar 6, 2014 ... Laws control the lesser man. Right conduct controls the greater one. Chinese Proverb ... Going into detail about the formal reporting processes lies well beyond ...",,misinformation,China,6/3/14,7/3/14,0.50624734,12
persuasion and manipulation of the consumer through advertising,https://store.ectap.ro/articole/951.pdf,"Mar 7, 2014 ... All these arguments support the idea that the law and the self-interest are not sufficient guidelines for good conduct in marketing advertising. The advertisers ...",,misinformation,China,7/3/14,8/3/14,0.32069758,13
Compulsive policy-making—The evolution of the German feed-in ...,https://scholar.harvard.edu/files/jhuenteler/files/rp_germany_pv.pdf,"Mar 18, 2014 ... 3. Development of annual EEG difference cost and apportionment for solar PV in Germany. Data from BDEW (2011). the law was very positive. Especially the growing ...",,misinformation,China,17/3/14,18/3/14,0.31214768,14
"THE MUTUAL NON-DENIAL PRINCIPLE, CHINA'S INTERESTS ...",https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=1219&context=mscas,"Mar 19, 2014 ... Su Chi, “Professor Hungdah Chiu, Taiwan, and Cross-Strait Relations,” Mary- land Journal of International Law, 27, 2012, 36-47. Page 4. \\jciprod01\productn\A\ ...",,misinformation,China,18/3/14,19/3/14,0.309099,15
Compulsive policy-making—The evolution of the German feed-in ...,https://scholar.harvard.edu/files/jhuenteler/files/rp_germany_pv.pdf,"Mar 18, 2014 ... 3. Development of annual EEG difference cost and apportionment for solar PV in Germany. Data from BDEW (2011). the law was very positive. Especially the growing ...",,misinformation,China,18/3/14,19/3/14,0.31214768,16
"THE MUTUAL NON-DENIAL PRINCIPLE, CHINA'S INTERESTS ...",https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=1219&context=mscas,"Mar 19, 2014 ... Su Chi, “Professor Hungdah Chiu, Taiwan, and Cross-Strait Relations,” Mary- land Journal of International Law, 27, 2012, 36-47. Page 4. \\jciprod01\productn\A\ ...",,misinformation,China,19/3/14,20/3/14,0.309099,17
